生效日,触发日,类型,原因
2017-01-02,,年初初始化,年初初始化：按年度实验规则重新建立模型，并非阈值触发
2017-01-11,2017-01-10,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +0.767% → +3.682%
2017-01-12,2017-01-11,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.922% → +3.608%
2017-01-19,2017-01-18,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.005% → +2.431%
2017-01-20,2017-01-19,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.346% → +2.158%
2017-01-25,2017-01-24,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.576% → +4.493%
2017-01-27,2017-01-26,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +4.140% → +2.356%
2017-02-01,2017-01-31,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +1.175% → +3.583%
2017-02-02,2017-02-01,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.583% → +2.627%
2017-02-13,2017-02-10,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -0.112% → +3.895%
2017-02-15,2017-02-14,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +4.118% → +2.218%
2017-03-08,2017-03-07,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -2.228% → -3.425%
2017-03-14,2017-03-13,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.700% → -2.270%
2017-04-13,2017-04-12,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -1.237% → -3.352%
2017-04-14,2017-04-13,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.352% → -2.196%
2017-04-19,2017-04-18,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -1.084% → -3.548%
2017-04-21,2017-04-20,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.055% → -2.601%
2017-05-05,2017-05-04,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 -1.855% → -3.332%
2017-05-12,2017-05-11,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 -3.409% → -2.736%
2017-06-30,2017-06-29,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.453% → +3.299%
2017-07-04,2017-07-03,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.645% → +2.716%；黄金：进入外侧，±3%边界；MA20偏离 -1.444% → -3.018%
2017-07-05,2017-07-04,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 -3.018% → -2.532%
2017-07-26,2017-07-25,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +1.829% → +5.545%
2017-08-11,2017-08-10,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +4.008% → +2.721%
2017-08-14,2017-08-11,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.721% → +3.057%
2017-08-15,2017-08-14,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.057% → +2.481%
2017-08-17,2017-08-16,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +1.434% → +3.398%
2017-08-18,2017-08-17,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.398% → +2.441%
2017-08-25,2017-08-24,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.483% → +3.991%
2017-09-05,2017-09-04,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.749% → +3.564%
2017-09-07,2017-09-06,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.233% → +2.584%
2017-09-08,2017-09-07,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.584% → +3.202%
2017-09-11,2017-09-08,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.494% → -0.047%
2017-09-12,2017-09-11,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.040% → +1.710%
2017-09-15,2017-09-14,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -2.502% → -3.274%
2017-09-19,2017-09-18,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.543% → -2.850%
2017-09-22,2017-09-21,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -2.757% → -3.703%
2017-09-28,2017-09-27,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.540% → -2.941%
2017-10-12,2017-10-11,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.876% → +3.824%
2017-10-26,2017-10-25,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.779% → +2.978%
2017-12-06,2017-12-05,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -0.626% → -5.010%
2017-12-12,2017-12-11,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.312% → -2.046%
2017-12-21,2017-12-20,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.461% → +3.823%
2017-12-30,2017-12-29,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.344% → +3.197%
