生效日,触发日,类型,原因
2026-01-01,,年初初始化,年初初始化：按年度实验规则重新建立模型，并非阈值触发
2026-01-04,2026-01-02,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +4.166% → +2.785%
2026-01-05,2026-01-04,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.785% → +7.399%
2026-01-09,2026-01-08,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.725% → +2.197%
2026-01-12,2026-01-09,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 +1.900% → +4.448%；铜：进入外侧，±3%边界；MA20偏离 +2.197% → +3.618%
2026-01-13,2026-01-12,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +1.523% → +3.749%
2026-01-18,2026-01-16,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.052% → +0.015%；黄金：回到区间内，±3%边界；MA20偏离 +3.109% → +2.321%
2026-01-19,2026-01-18,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.321% → +5.813%
2026-01-22,2026-01-21,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 +5.100% → +3.319%
2026-01-26,2026-01-23,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 +1.182% → +4.881%；美元指数：进入外侧，±1%边界；MA20偏离 -0.349% → -1.087%
2026-01-27,2026-01-26,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 +4.881% → +3.667%
2026-01-28,2026-01-27,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 +3.667% → +6.938%；美元指数：进入外侧，±2%边界；MA20偏离 -1.593% → -2.315%
2026-01-29,2026-01-28,阈值穿越,美元指数：回到区间内，±2%边界；MA20偏离 -2.315% → -1.984%
2026-01-30,2026-01-29,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -0.307% → +4.655%；美元指数：进入外侧，±2%边界；MA20偏离 -1.984% → -2.057%
2026-02-02,2026-01-30,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +4.655% → -0.017%；美元指数：回到区间内，±2%边界；MA20偏离 -2.057% → -1.271%；黄金：回到区间内，±3%边界；MA20偏离 +11.839% → -1.161%
2026-02-03,2026-02-02,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 +7.789% → +0.609%；美元指数：回到区间内，±1%边界；MA20偏离 -1.271% → -0.591%；黄金：进入外侧，±3%边界；MA20偏离 -1.161% → -3.219%
2026-02-04,2026-02-03,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 -3.219% → +2.182%
2026-02-05,2026-02-04,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 +3.326% → +4.407%
2026-02-06,2026-02-05,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 +4.407% → +2.172%
2026-02-10,2026-02-09,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 -0.312% → -1.022%；黄金：进入外侧，±3%边界；MA20偏离 +1.910% → +3.470%
2026-02-11,2026-02-10,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 -1.022% → -0.925%；黄金：回到区间内，±3%边界；MA20偏离 +3.470% → +2.110%
2026-02-12,2026-02-11,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.110% → +3.015%
2026-02-13,2026-02-12,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.015% → -0.328%
2026-02-15,2026-02-14,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +1.392% → +3.679%
2026-02-17,2026-02-16,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.268% → +2.934%
2026-02-18,2026-02-17,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -2.208% → -3.085%
2026-02-19,2026-02-18,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.085% → -0.312%
2026-02-26,2026-02-25,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.657% → +3.159%
2026-02-27,2026-02-26,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.159% → +2.006%
2026-02-28,2026-02-27,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.264% → +3.216%
2026-03-02,2026-02-28,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 +0.336% → +8.200%；铜：回到区间内，±3%边界；MA20偏离 +3.216% → +1.232%；黄金：进入外侧，±3%边界；MA20偏离 +2.740% → +3.614%
2026-03-04,2026-03-03,阈值穿越,布伦特原油：进入外侧，±10%边界；MA20偏离 +7.645% → +15.034%；布伦特原油：进入外侧，±15%边界；MA20偏离 +7.645% → +15.034%；美元指数：进入外侧，±1%边界；MA20偏离 +0.934% → +1.547%；黄金：回到区间内，±3%边界；MA20偏离 +3.177% → -0.619%
2026-03-05,2026-03-04,阈值穿越,布伦特原油：回到区间内，±15%边界；MA20偏离 +15.034% → +11.857%
2026-03-06,2026-03-05,阈值穿越,布伦特原油：进入外侧，±15%边界；MA20偏离 +11.857% → +20.051%
2026-03-11,2026-03-10,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 +1.220% → +0.762%
2026-03-12,2026-03-11,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 +0.762% → +1.063%
2026-03-17,2026-03-16,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 -2.115% → -3.096%
2026-03-18,2026-03-17,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 +1.123% → +0.895%；黄金：回到区间内，±3%边界；MA20偏离 -3.096% → -2.814%
2026-03-19,2026-03-18,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -2.010% → -4.784%；美元指数：进入外侧，±1%边界；MA20偏离 +0.895% → +1.301%；黄金：进入外侧，±3%边界；MA20偏离 -2.814% → -4.727%
2026-03-20,2026-03-19,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 +1.301% → +0.358%
2026-03-23,2026-03-20,阈值穿越,美国10年期利率：进入外侧，±5%边界；MA20偏离 +2.893% → +5.821%
2026-03-24,2026-03-23,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 -3.431% → -6.356%；布伦特原油：回到区间内，±15%边界；MA20偏离 +29.683% → +11.669%；美国10年期利率：回到区间内，±5%边界；MA20偏离 +5.821% → +4.239%
2026-03-25,2026-03-24,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 -6.356% → -4.716%；美国10年期利率：进入外侧，±5%边界；MA20偏离 +4.239% → +5.011%
2026-03-26,2026-03-25,阈值穿越,美国10年期利率：回到区间内，±5%边界；MA20偏离 +5.011% → +3.194%
2026-03-30,2026-03-27,阈值穿越,布伦特原油：进入外侧，±15%边界；MA20偏离 +14.758% → +20.244%
2026-03-31,2026-03-30,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 +0.747% → +1.001%
2026-04-01,2026-03-31,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.072% → -0.914%；美元指数：回到区间内，±1%边界；MA20偏离 +1.001% → +0.403%
2026-04-02,2026-04-01,阈值穿越,布伦特原油：回到区间内，±15%边界；MA20偏离 +20.174% → +11.403%；黄金：回到区间内，±3%边界；MA20偏离 -3.616% → -0.456%
2026-04-03,2026-04-02,阈值穿越,布伦特原油：进入外侧，±15%边界；MA20偏离 +11.403% → +16.781%
2026-04-09,2026-04-08,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 +19.138% → +3.866%；布伦特原油：回到区间内，±10%边界；MA20偏离 +19.138% → +3.866%；布伦特原油：回到区间内，±15%边界；MA20偏离 +19.138% → +3.866%；铜：进入外侧，±3%边界；MA20偏离 -0.638% → +3.290%
2026-04-14,2026-04-13,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 -0.986% → -1.200%
2026-04-15,2026-04-14,阈值穿越,铜：进入外侧，±8%边界；MA20偏离 +6.931% → +8.285%；黄金：进入外侧，±3%边界；MA20偏离 +2.088% → +4.063%
2026-04-16,2026-04-15,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -1.760% → -4.747%；铜：回到区间内，±8%边界；MA20偏离 +8.285% → +7.841%
2026-04-17,2026-04-16,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -4.747% → -3.561%
2026-04-20,2026-04-17,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -3.561% → -17.772%；布伦特原油：进入外侧，±10%边界；MA20偏离 -3.561% → -17.772%；布伦特原油：进入外侧，±15%边界；MA20偏离 -3.561% → -17.772%
2026-04-21,2026-04-20,阈值穿越,布伦特原油：回到区间内，±15%边界；MA20偏离 -17.772% → -13.782%；黄金：回到区间内，±3%边界；MA20偏离 +4.336% → +2.797%
2026-04-22,2026-04-21,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 -1.177% → -0.763%
2026-04-23,2026-04-22,阈值穿越,布伦特原油：回到区间内，±10%边界；MA20偏离 -11.413% → -5.490%；中国10年期利率：进入外侧，±3%边界；MA20偏离 -2.837% → -3.282%
2026-04-24,2026-04-23,阈值穿越,中国10年期利率：回到区间内，±3%边界；MA20偏离 -3.282% → -2.222%
2026-04-28,2026-04-27,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.661% → +2.528%
2026-04-29,2026-04-28,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -4.408% → -0.900%
2026-04-30,2026-04-29,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -0.900% → +4.408%；黄金：进入外侧，±3%边界；MA20偏离 -2.981% → -3.717%
2026-05-01,2026-04-30,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 -3.717% → -2.207%
2026-05-04,2026-05-01,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 +4.623% → +0.431%
2026-05-07,2026-05-06,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -0.756% → -9.402%
2026-05-08,2026-05-07,阈值穿越,布伦特原油：进入外侧，±10%边界；MA20偏离 -9.402% → -10.371%
2026-05-09,2026-05-08,阈值穿越,布伦特原油：回到区间内，±10%边界；MA20偏离 -10.371% → -8.280%；铜：进入外侧，±3%边界；MA20偏离 +2.142% → +3.783%
2026-05-13,2026-05-12,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -4.693% → +0.192%
2026-05-14,2026-05-13,阈值穿越,铜：进入外侧，±8%边界；MA20偏离 +6.513% → +8.394%
2026-05-15,2026-05-14,阈值穿越,铜：回到区间内，±8%边界；MA20偏离 +8.394% → +6.868%
2026-05-18,2026-05-15,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +6.868% → +1.597%
2026-05-20,2026-05-19,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 -2.447% → -3.202%；美国10年期利率：进入外侧，±5%边界；MA20偏离 +4.381% → +5.299%
2026-05-21,2026-05-20,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 -3.202% → -2.483%；美国10年期利率：回到区间内，±5%边界；MA20偏离 +5.299% → +2.777%
2026-05-22,2026-05-21,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -3.048% → -5.545%
2026-05-28,2026-05-27,阈值穿越,布伦特原油：进入外侧，±10%边界；MA20偏离 -6.497% → -10.525%；黄金：进入外侧，±3%边界；MA20偏离 -2.653% → -3.623%
2026-05-29,2026-05-28,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 -3.623% → -2.307%
2026-06-02,2026-06-01,阈值穿越,布伦特原油：回到区间内，±10%边界；MA20偏离 -12.635% → -6.835%
2026-06-03,2026-06-02,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.604% → +4.147%
2026-06-04,2026-06-03,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -6.415% → -3.368%；铜：回到区间内，±3%边界；MA20偏离 +4.147% → +1.249%
2026-06-05,2026-06-04,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -3.368% → -5.742%
2026-06-08,2026-06-05,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 -1.720% → -4.365%
2026-06-15,2026-06-12,阈值穿越,布伦特原油：进入外侧，±10%边界；MA20偏离 -8.662% → -11.694%
2026-06-16,2026-06-15,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 -4.619% → -1.812%
2026-06-17,2026-06-16,阈值穿越,布伦特原油：进入外侧，±15%边界；MA20偏离 -14.580% → -17.055%
2026-06-19,2026-06-18,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 +0.583% → +1.262%；黄金：进入外侧，±3%边界；MA20偏离 -0.720% → -3.443%
2026-06-22,2026-06-19,阈值穿越,布伦特原油：回到区间内，±15%边界；MA20偏离 -15.852% → -13.462%
2026-06-23,2026-06-22,阈值穿越,布伦特原油：进入外侧，±15%边界；MA20偏离 -13.462% → -16.553%
2026-06-24,2026-06-23,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -0.809% → -4.012%
2026-06-29,2026-06-26,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.664% → -2.434%
2026-06-30,2026-06-29,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 +1.112% → +0.766%
2026-07-02,2026-07-01,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 -4.375% → -2.871%
2026-07-06,2026-07-03,阈值穿越,布伦特原油：回到区间内，±15%边界；MA20偏离 -15.348% → -13.637%
2026-07-08,2026-07-07,阈值穿越,布伦特原油：回到区间内，±10%边界；MA20偏离 -10.968% → -6.793%
2026-07-09,2026-07-08,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -6.793% → +0.592%
2026-07-14,2026-07-13,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 -2.719% → -5.024%；布伦特原油：进入外侧，±4%边界；MA20偏离 -0.101% → +9.884%；黄金：进入外侧，±3%边界；MA20偏离 -0.894% → -3.093%
2026-07-15,2026-07-14,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 -5.024% → -2.772%；布伦特原油：进入外侧，±10%边界；MA20偏离 +9.884% → +12.429%；黄金：回到区间内，±3%边界；MA20偏离 -3.093% → -1.216%
2026-07-17,2026-07-16,阈值穿越,布伦特原油：回到区间内，±10%边界；MA20偏离 +11.404% → +8.786%
