Date,Gold,Lag20_gold,gold_20,Current_price_term,Rolling_base_term,Return_change
2020-07-17,1134.6552702712017,1102.2777216502664,0.029373313081626717,0.005464847682067434,-0.006333774144215758,-0.0008689264621484227
2020-07-20,1139.4240321578725,1111.9407855179275,0.024716466018596117,0.004288683308301816,-0.008945530371332232,-0.0046568470630306
2020-07-21,1156.0520053096031,1107.987766159936,0.0433797561829119,0.015007361687178087,0.0036559284771374334,0.018663290164315782
2020-07-22,1169.6680885352557,1113.6350023246748,0.05031548585812562,0.01222670192408596,-0.00529097224887212,0.00693572967521372
2020-07-23,1185.3548556595297,1113.6350023246748,0.06440157967838855,0.014086093820262805,0.0,0.014086093820262935
2020-07-24,1190.5001612336173,1113.6350023246748,0.06902185971928776,0.004620280040899367,0.0,0.004620280040899205
2020-07-27,1211.6458926789214,1113.6350023246748,0.08800988667709997,0.018988026957812165,0.0,0.01898802695781221
2020-07-28,1220.2422104248064,1125.054938152929,0.08460677700606523,0.00764079819959558,-0.011043907870630292,-0.003403109671034743
2020-07-29,1225.763983090768,1112.6309879522871,0.1016806078237078,0.004962806829714529,0.012111023987927952,0.017073830817642577
2020-07-30,1218.7363420573104,1119.4077019881904,0.08873321122652755,-0.006277999535804385,-0.006669397061375795,-0.01294739659718025
2020-07-31,1231.599491099215,1122.2313200705598,0.09745599599000543,0.01146211909421292,-0.0027393343307350075,0.008722784763477875
2020-08-03,1233.607366652905,1122.2313200705598,0.09924517752306405,0.001789181533058542,0.0,0.0017891815330586258
2020-08-04,1255.6943041256657,1132.082579186387,0.10918967150622239,0.01951000561163498,-0.009565511628476438,0.009944493983158331
2020-08-05,1274.4556929254059,1139.1730285647757,0.11875515041913376,0.016469305653573397,-0.00690382674066218,0.009565478912911374
2020-08-06,1287.256110217922,1128.945225761532,0.1402290216069617,0.01133838648715806,0.010135484700669885,0.021473871187827953
2020-08-07,1261.278808541016,1128.317755076561,0.11784007906126837,-0.02302303722513295,0.0006340946794396552,-0.022388942545693347
2020-08-10,1270.2516699743176,1136.3494104824063,0.11783546350859342,0.007896216912272146,-0.00790083246494712,-4.6155526749469544e-06
2020-08-11,1212.6498304557665,1136.0984068893094,0.06738097958966294,-0.05070145259358966,0.00024696867465902046,-0.05045448391893048
2020-08-12,1214.0930436694166,1136.6004140755033,0.06817930790298443,0.001269763054612283,-0.0004714347412906709,0.0007983283133214947
2020-08-13,1227.7718586444582,1128.6314904190467,0.08784122104248748,0.012119823955968887,0.0075420891835341645,0.01966191313950305
2020-08-14,1215.410716788747,1134.6552702712017,0.07117178991134754,-0.010894182735128545,-0.005775248396011268,-0.016669431131139945
2020-08-17,1245.5293096673531,1139.4240321578725,0.09312185324767608,0.02643317327752567,-0.004483109941197344,0.02195006333632854
2020-08-18,1254.5649028500436,1156.0520053096031,0.08521493590944273,0.00781590546203037,-0.015722822800263728,-0.007906917338233344
2020-08-19,1229.0268000144001,1169.6680885352557,0.050748337978064884,-0.021833632195287275,-0.012632965736090396,-0.03446659793137785
2020-08-20,1213.4028412350572,1185.3548556595297,0.02366210037577443,-0.013180828259778638,-0.013905409342511776,-0.027086237602290453
2020-08-21,1213.9047718257084,1190.5001612336173,0.019659477045210094,0.0004216132067811884,-0.004424236537345734,-0.004002623330564337
2020-08-24,1209.5752087803003,1211.6458926789214,-0.001708984375,-0.0035732907374740955,-0.017795170682735863,-0.021368461420210094
2020-08-25,1199.5984861656962,1220.2422104248064,-0.01691772672896108,-0.00817601827683939,-0.007032724077121665,-0.01520874235396108
2020-08-26,1217.732327684923,1225.763983090768,-0.006552366945546395,0.014793909569362766,-0.004428549785948127,0.010365359783414685
2020-08-27,1205.747652921086,1218.7363420573104,-0.010657505391443833,-0.0098336894948139,0.005728551048916467,-0.004105138445897438
2020-08-28,1232.7288923748372,1231.599491099215,0.0009170199271633095,0.021907478566486057,-0.010332953247878834,0.011574525318607143
2020-08-31,1234.61130442975,1233.607366652905,0.0008138227802325648,0.0015259409969479913,-0.0016291381438788399,-0.00010319714693074467
2020-09-01,1234.987771521624,1255.6943041256657,-0.016490106338787336,0.0002998079155389271,-0.01760373703455878,-0.0173039291190199
