生效日,触发日,类型,原因
2025-01-01,,年初初始化,年初初始化：按年度实验规则重新建立模型，并非阈值触发
2025-01-07,2025-01-06,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 +1.066% → +0.328%
2025-01-08,2025-01-07,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 +3.898% → +4.370%
2025-01-09,2025-01-08,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 +4.370% → +3.532%；铜：进入外侧，±3%边界；MA20偏离 +1.977% → +3.491%
2025-01-10,2025-01-09,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 +3.532% → +4.619%；中国10年期利率：回到区间内，±3%边界；MA20偏离 -4.973% → -2.686%
2025-01-13,2025-01-10,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 +0.866% → +1.176%
2025-01-15,2025-01-14,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 +1.317% → +0.574%
2025-01-17,2025-01-16,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.433% → +3.412%
2025-01-22,2025-01-21,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 +4.788% → +2.897%；铜：回到区间内，±3%边界；MA20偏离 +3.250% → +2.942%；黄金：回到区间内，±3%边界；MA20偏离 +3.234% → +2.973%
2025-01-23,2025-01-22,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.973% → +3.196%
2025-01-24,2025-01-23,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.196% → +2.790%
2025-01-26,2025-01-24,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 -0.691% → -1.226%；黄金：进入外侧，±3%边界；MA20偏离 +2.790% → +3.011%
2025-01-27,2025-01-26,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.011% → +1.288%
2025-01-29,2025-01-28,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 -1.230% → -0.673%；黄金：进入外侧，±3%边界；MA20偏离 +1.086% → +5.623%
2025-02-06,2025-02-05,阈值穿越,布伦特原油：进入外侧，±4%边界；MA20偏离 -3.611% → -5.744%
2025-02-07,2025-02-06,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.935% → +3.141%；黄金：回到区间内，±3%边界；MA20偏离 +3.189% → +2.358%
2025-02-10,2025-02-08,阈值穿越,布伦特原油：回到区间内，±4%边界；MA20偏离 -4.988% → -2.635%；铜：进入外侧，±8%边界；MA20偏离 +5.778% → +8.044%；黄金：进入外侧，±3%边界；MA20偏离 +2.407% → +3.647%
2025-02-11,2025-02-10,阈值穿越,铜：回到区间内，±8%边界；MA20偏离 +8.044% → +7.651%
2025-02-12,2025-02-11,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.277% → +2.910%
2025-02-14,2025-02-13,阈值穿越,铜：进入外侧，±8%边界；MA20偏离 +6.987% → +8.122%
2025-02-17,2025-02-14,阈值穿越,铜：回到区间内，±8%边界；MA20偏离 +8.122% → +5.168%；美元指数：进入外侧，±1%边界；MA20偏离 -0.572% → -1.190%
2025-02-18,2025-02-17,阈值穿越,中国10年期利率：进入外侧，±3%边界；MA20偏离 +1.513% → +3.788%；美元指数：回到区间内，±1%边界；MA20偏离 -1.190% → -0.693%
2025-02-20,2025-02-19,阈值穿越,中国10年期利率：回到区间内，±3%边界；MA20偏离 +4.114% → +1.768%；铜：回到区间内，±3%边界；MA20偏离 +3.878% → +2.875%
2025-02-21,2025-02-20,阈值穿越,中国10年期利率：进入外侧，±3%边界；MA20偏离 +1.768% → +3.041%；铜：进入外侧，±3%边界；MA20偏离 +2.875% → +3.505%；美元指数：进入外侧，±1%边界；MA20偏离 -0.523% → -1.248%
2025-02-24,2025-02-21,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.505% → +1.925%；美元指数：回到区间内，±1%边界；MA20偏离 -1.248% → -0.963%
2025-02-26,2025-02-25,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 -0.914% → -1.106%
2025-02-27,2025-02-26,阈值穿越,美元指数：回到区间内，±1%边界；MA20偏离 -1.106% → -0.940%；美国10年期利率：进入外侧，±5%边界；MA20偏离 -4.391% → -5.219%
2025-02-28,2025-02-27,阈值穿越,美国10年期利率：回到区间内，±5%边界；MA20偏离 -5.219% → -4.016%
2025-03-03,2025-02-28,阈值穿越,中国10年期利率：回到区间内，±3%边界；MA20偏离 +5.608% → +2.768%
2025-03-04,2025-03-03,阈值穿越,美国10年期利率：进入外侧，±5%边界；MA20偏离 -4.815% → -6.232%
2025-03-05,2025-03-04,阈值穿越,美元指数：进入外侧，±1%边界；MA20偏离 -0.461% → -1.318%；美国10年期利率：回到区间内，±5%边界；MA20偏离 -6.232% → -4.654%
