生效日,触发日,类型,原因
2019-01-01,,年初初始化,年初初始化：按年度实验规则重新建立模型，并非阈值触发
2019-01-04,2019-01-03,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -2.591% → -4.364%
2019-01-07,2019-01-04,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -4.364% → -1.181%
2019-01-31,2019-01-30,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.270% → +3.637%
2019-02-11,2019-02-08,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.396% → +2.476%
2019-02-18,2019-02-17,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 +2.376% → +5.041%
2019-02-19,2019-02-18,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 +5.041% → +4.594%
2019-02-21,2019-02-20,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.954% → +4.028%
2019-02-22,2019-02-21,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +4.028% → +2.910%
2019-02-25,2019-02-22,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.910% → +4.411%
2019-02-26,2019-02-25,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 +4.805% → +9.857%；A500指数：进入外侧，±8%边界；MA20偏离 +4.805% → +9.857%
2019-02-28,2019-02-27,阈值穿越,A500指数：回到区间内，±8%边界；MA20偏离 +8.146% → +7.195%
2019-03-04,2019-03-01,阈值穿越,A500指数：进入外侧，±8%边界；MA20偏离 +6.737% → +8.134%；铜：回到区间内，±3%边界；MA20偏离 +3.199% → +2.398%
2019-03-08,2019-03-07,阈值穿越,A500指数：回到区间内，±8%边界；MA20偏离 +9.200% → +7.388%
2019-03-11,2019-03-08,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 +7.388% → +3.112%
2019-03-13,2019-03-12,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 +4.973% → +5.398%
2019-03-14,2019-03-13,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 +5.398% → +3.421%
2019-04-02,2019-04-01,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 +2.326% → +5.022%
2019-04-03,2019-04-02,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 +5.022% → +4.813%
2019-04-04,2019-04-03,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 +4.813% → +5.669%
2019-04-11,2019-04-10,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 +5.071% → +4.933%
2019-05-02,2019-05-01,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 -2.904% → -8.412%；A500指数：进入外侧，±8%边界；MA20偏离 -2.904% → -8.412%；铜：进入外侧，±3%边界；MA20偏离 -0.407% → -3.735%
2019-05-03,2019-05-02,阈值穿越,A500指数：回到区间内，±8%边界；MA20偏离 -8.412% → -7.937%
2019-05-05,2019-05-03,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -4.293% → -2.735%
2019-05-08,2019-05-07,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -2.018% → -3.363%
2019-05-13,2019-05-10,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 -7.170% → -3.221%；铜：回到区间内，±3%边界；MA20偏离 -3.275% → -2.900%
2019-05-14,2019-05-13,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -2.900% → -4.422%
2019-05-16,2019-05-15,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.877% → -2.942%
2019-05-23,2019-05-22,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -2.808% → -3.765%
2019-05-26,2019-05-24,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.299% → -2.266%
2019-06-04,2019-06-03,阈值穿越,美国10年期利率：进入外侧，±10%边界；MA20偏离 -9.110% → -11.368%
2019-06-05,2019-06-04,阈值穿越,美国10年期利率：回到区间内，±10%边界；MA20偏离 -11.368% → -8.502%
2019-06-07,2019-06-06,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.956% → +3.469%
2019-06-10,2019-06-07,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.469% → +2.374%
2019-06-21,2019-06-20,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.193% → +5.424%
2019-07-02,2019-07-01,阈值穿越,A500指数：进入外侧，±5%边界；MA20偏离 +3.114% → +5.827%；黄金：回到区间内，±3%边界；MA20偏离 +3.743% → +1.733%
2019-07-04,2019-07-03,阈值穿越,A500指数：回到区间内，±5%边界；MA20偏离 +5.371% → +3.724%；黄金：进入外侧，±3%边界；MA20偏离 +2.822% → +3.442%
2019-07-05,2019-07-04,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.442% → +1.691%
2019-08-05,2019-08-02,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 -0.863% → -4.167%
2019-08-06,2019-08-05,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +1.967% → +3.061%；美国10年期利率：进入外侧，±10%边界；MA20偏离 -9.379% → -14.110%
2019-08-09,2019-08-08,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 -3.737% → -2.269%
2019-08-20,2019-08-19,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.466% → +2.376%
2019-08-23,2019-08-22,阈值穿越,美国10年期利率：回到区间内，±10%边界；MA20偏离 -10.271% → -7.376%
2019-08-26,2019-08-23,阈值穿越,美国10年期利率：进入外侧，±10%边界；MA20偏离 -7.376% → -11.679%
2019-08-27,2019-08-26,阈值穿越,美国10年期利率：回到区间内，±10%边界；MA20偏离 -11.679% → -9.145%
2019-08-28,2019-08-27,阈值穿越,黄金：进入外侧，±3%边界；MA20偏离 +2.518% → +3.120%；美国10年期利率：进入外侧，±10%边界；MA20偏离 -9.145% → -10.591%
2019-08-29,2019-08-28,阈值穿越,黄金：回到区间内，±3%边界；MA20偏离 +3.120% → +2.523%
2019-08-30,2019-08-29,阈值穿越,美国10年期利率：回到区间内，±10%边界；MA20偏离 -10.311% → -7.350%
2019-09-11,2019-09-10,阈值穿越,美国10年期利率：进入外侧，±10%边界；MA20偏离 +6.293% → +11.688%
2019-09-16,2019-09-13,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.136% → +4.225%；美国10年期利率：进入外侧，±20%边界；MA20偏离 +14.487% → +20.367%
2019-09-17,2019-09-16,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +4.225% → +1.819%；美国10年期利率：回到区间内，±20%边界；MA20偏离 +20.367% → +15.505%
2019-09-23,2019-09-20,阈值穿越,美国10年期利率：回到区间内，±10%边界；MA20偏离 +10.052% → +6.324%
2019-10-04,2019-10-03,阈值穿越,美国10年期利率：进入外侧，±10%边界；MA20偏离 -7.004% → -10.465%
2019-10-08,2019-10-07,阈值穿越,美国10年期利率：回到区间内，±10%边界；MA20偏离 -11.344% → -8.585%
2019-12-10,2019-12-09,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.471% → +3.565%
2019-12-23,2019-12-20,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.850% → +2.770%
2019-12-26,2019-12-25,阈值穿越,铜：进入外侧，±3%边界；MA20偏离 +2.998% → +3.140%
2019-12-30,2019-12-27,阈值穿越,铜：回到区间内，±3%边界；MA20偏离 +3.153% → +2.111%
